epoch,train_loss,val_loss,train_adv_loss,train_clean_loss
0,0.211184,0.057254,0.216466,0.205902
1,0.049881,0.028616,0.052783,0.046978
2,0.048582,0.026795,0.051914,0.045249
3,0.038537,0.026309,0.041070,0.036004
4,0.038120,0.022012,0.040924,0.035315
5,0.041346,0.023486,0.044473,0.038219
6,0.033626,0.022726,0.036075,0.031178
7,0.033260,0.021172,0.035680,0.030840
8,0.030306,0.021361,0.032633,0.027980
9,0.031004,0.022267,0.033587,0.028422
10,0.033323,0.022167,0.036020,0.030626
11,0.030497,0.028802,0.032943,0.028051
12,0.029477,0.017419,0.031948,0.027006
13,0.026950,0.019920,0.029330,0.024570
14,0.031835,0.038262,0.034379,0.029291
15,0.028710,0.017523,0.031205,0.026214
16,0.027805,0.019085,0.030264,0.025346
17,0.027568,0.022030,0.030037,0.025098
18,0.026699,0.017663,0.029300,0.024097
19,0.026067,0.016286,0.028454,0.023679
20,0.026708,0.018478,0.029159,0.024256
21,0.025450,0.015878,0.027849,0.023051
22,0.025191,0.016042,0.027570,0.022813
23,0.024808,0.017778,0.027220,0.022396
24,0.022963,0.022959,0.025490,0.020436
25,0.023379,0.015000,0.025827,0.020932
26,0.025251,0.016167,0.027589,0.022912
27,0.023503,0.019938,0.025917,0.021090
28,0.022415,0.018361,0.024900,0.019931
29,0.022201,0.017213,0.024605,0.019796
30,0.024994,0.019274,0.027616,0.022371
31,0.022326,0.017615,0.024762,0.019889
32,0.022347,0.022171,0.024775,0.019919
33,0.021211,0.015069,0.023499,0.018923
34,0.021391,0.017825,0.023792,0.018990
35,0.021858,0.016894,0.024311,0.019404
36,0.021339,0.015039,0.023692,0.018985
37,0.022073,0.016577,0.024505,0.019642
38,0.019809,0.016013,0.022142,0.017476
39,0.020570,0.015125,0.023209,0.017930
40,0.021560,0.015107,0.024137,0.018983
41,0.019872,0.017949,0.022338,0.017406
42,0.018743,0.011915,0.021054,0.016432
43,0.020869,0.021704,0.023448,0.018290
44,0.020107,0.018263,0.022572,0.017643
45,0.016861,0.015064,0.019064,0.014659
46,0.018317,0.020137,0.020752,0.015882
47,0.019173,0.015296,0.021792,0.016554
48,0.018993,0.022647,0.021400,0.016586
49,0.018154,0.020479,0.020509,0.015798
50,0.018409,0.014347,0.020864,0.015954
51,0.017043,0.014909,0.019373,0.014713
52,0.018732,0.020430,0.021246,0.016219
53,0.019522,0.021179,0.022116,0.016928
54,0.019660,0.016251,0.022168,0.017153
55,0.016765,0.015364,0.019053,0.014476
56,0.019709,0.014594,0.022367,0.017051
57,0.018205,0.015867,0.020679,0.015731
58,0.016378,0.013837,0.018751,0.014004
59,0.015836,0.013979,0.018056,0.013615
60,0.018411,0.013378,0.020920,0.015902
61,0.017009,0.020245,0.019507,0.014510
62,0.016807,0.020243,0.019278,0.014336
63,0.018250,0.015646,0.020741,0.015758
64,0.015843,0.013236,0.018218,0.013468
65,0.015303,0.017774,0.017611,0.012995
66,0.018910,0.021173,0.021652,0.016168
67,0.016361,0.013560,0.018699,0.014023
68,0.015336,0.018010,0.017665,0.013008
69,0.014885,0.012313,0.017250,0.012520
70,0.014637,0.014271,0.016845,0.012429
71,0.015714,0.014203,0.018137,0.013291
72,0.015376,0.013951,0.017745,0.013006
73,0.014179,0.013888,0.016475,0.011884
74,0.016056,0.014278,0.018559,0.013553
75,0.013593,0.013596,0.015780,0.011406
76,0.013872,0.012615,0.016278,0.011466
77,0.015963,0.013359,0.018562,0.013364
78,0.014870,0.014920,0.017343,0.012397
79,0.015908,0.015531,0.018500,0.013317
80,0.013773,0.013359,0.016000,0.011546
81,0.014261,0.012960,0.016628,0.011893
82,0.016525,0.014563,0.019216,0.013834
83,0.013288,0.013905,0.015647,0.010928
84,0.013544,0.013979,0.015788,0.011301
85,0.013793,0.013227,0.015933,0.011654
86,0.012207,0.015757,0.014313,0.010100
87,0.013871,0.012868,0.016158,0.011584
88,0.012041,0.013061,0.014103,0.009978
89,0.013456,0.015904,0.015761,0.011151
90,0.015022,0.014280,0.017514,0.012529
91,0.013418,0.011697,0.015644,0.011193
92,0.012853,0.013719,0.015256,0.010450
93,0.012681,0.012806,0.015027,0.010334
94,0.011406,0.012058,0.013514,0.009298
95,0.012221,0.013257,0.014337,0.010104
96,0.013665,0.013683,0.016124,0.011207
97,0.011835,0.012291,0.013921,0.009748
98,0.011775,0.014514,0.013896,0.009653
99,0.013927,0.011365,0.016275,0.011580
final,0.013927,0.011365
