epoch,train_loss,val_loss
0,0.205984,0.059791
1,0.046272,0.029977
2,0.042616,0.027876
3,0.037189,0.034660
4,0.034491,0.026804
5,0.034867,0.028379
6,0.032915,0.022236
7,0.030250,0.018378
8,0.031450,0.024390
9,0.030200,0.019624
10,0.028601,0.021221
11,0.029447,0.017792
12,0.026816,0.017243
13,0.028721,0.057008
14,0.029142,0.017998
15,0.023299,0.017411
16,0.022913,0.019662
17,0.025141,0.017032
18,0.022038,0.019333
19,0.024558,0.017789
20,0.022742,0.016329
21,0.021157,0.018053
22,0.021658,0.017219
23,0.019641,0.020500
24,0.023325,0.022841
25,0.020082,0.015051
26,0.019898,0.015705
27,0.019141,0.020882
28,0.019436,0.027659
29,0.019965,0.019978
30,0.016983,0.018748
31,0.017872,0.016859
32,0.017433,0.022417
33,0.018629,0.018943
34,0.020651,0.017008
35,0.018693,0.020374
36,0.018114,0.022030
37,0.018693,0.016285
38,0.015764,0.019514
39,0.015421,0.017121
40,0.018175,0.017424
41,0.016549,0.012872
42,0.016871,0.017044
43,0.014253,0.013021
44,0.014337,0.015313
45,0.017056,0.023637
46,0.016430,0.019887
47,0.014003,0.012729
48,0.014856,0.015051
49,0.013476,0.015747
50,0.016044,0.014182
51,0.015187,0.014460
52,0.013864,0.015317
53,0.013183,0.012538
54,0.014419,0.014452
55,0.015549,0.013589
56,0.012800,0.011966
57,0.014148,0.016477
58,0.012050,0.020309
59,0.013496,0.014050
60,0.012683,0.014146
61,0.016259,0.014373
62,0.011919,0.018314
63,0.012403,0.020161
64,0.012085,0.015596
65,0.011921,0.015115
66,0.012187,0.012886
67,0.010623,0.011908
68,0.012889,0.019727
69,0.012761,0.011726
70,0.009800,0.019299
71,0.011430,0.016714
72,0.009422,0.012532
73,0.011704,0.013112
74,0.012206,0.015005
75,0.012538,0.018551
76,0.009616,0.013773
77,0.010685,0.014211
78,0.011804,0.013119
79,0.010110,0.015730
80,0.011455,0.014713
81,0.010242,0.013563
82,0.010925,0.017309
83,0.010432,0.016154
84,0.008747,0.014880
85,0.008757,0.012025
86,0.009569,0.014195
87,0.009313,0.017732
88,0.009653,0.012306
89,0.009541,0.012581
90,0.008374,0.011962
91,0.010602,0.011295
92,0.009271,0.015263
93,0.007611,0.011895
94,0.008333,0.015426
95,0.014292,0.015454
96,0.010501,0.012292
97,0.007833,0.012610
98,0.007210,0.012139
99,0.009729,0.017632
