epoch,train_loss,val_loss,train_adv_loss,train_clean_loss
0,1.527645,0.121611,1.540469,1.514822
1,0.095477,0.040699,0.102191,0.088762
2,0.071837,0.033828,0.075790,0.067884
3,0.053271,0.031504,0.056580,0.049961
4,0.051545,0.039050,0.054580,0.048510
5,0.049581,0.023466,0.052865,0.046298
6,0.047667,0.025763,0.050698,0.044636
7,0.045298,0.024482,0.048269,0.042326
8,0.046008,0.012614,0.049064,0.042951
9,0.045990,0.030454,0.049318,0.042662
10,0.040634,0.019913,0.043547,0.037721
11,0.046222,0.027573,0.049503,0.042941
12,0.040218,0.016596,0.043165,0.037270
13,0.040991,0.021253,0.044257,0.037725
14,0.037456,0.016193,0.040530,0.034382
15,0.036200,0.012513,0.039373,0.033027
16,0.037481,0.008488,0.041203,0.033758
17,0.032764,0.012225,0.036310,0.029219
18,0.036353,0.007824,0.039712,0.032995
19,0.039400,0.019322,0.043900,0.034901
final,0.039400,0.007824
