epoch,train_loss,val_loss
0,0.295107,0.039054
1,0.054468,0.037586
2,0.048613,0.037992
3,0.042265,0.028852
4,0.040894,0.032422
5,0.044049,0.029743
6,0.035358,0.026264
7,0.033190,0.027840
8,0.033528,0.022591
9,0.033931,0.022128
10,0.034009,0.023159
11,0.030642,0.025056
12,0.030739,0.023198
13,0.031399,0.021188
14,0.029055,0.023868
15,0.029009,0.023284
16,0.028624,0.018983
17,0.027979,0.023751
18,0.028234,0.020193
19,0.028432,0.019348
20,0.026987,0.020914
21,0.025169,0.019059
22,0.025409,0.024716
23,0.025218,0.023947
24,0.024315,0.021003
25,0.023695,0.021929
26,0.024281,0.020103
27,0.022174,0.017090
28,0.022216,0.024769
29,0.022926,0.018826
30,0.020967,0.021716
31,0.023490,0.021404
32,0.021630,0.017835
33,0.021947,0.018308
34,0.019793,0.020466
35,0.020231,0.018807
36,0.022910,0.015376
37,0.019164,0.017502
38,0.019702,0.016241
39,0.019830,0.014630
40,0.018726,0.020930
41,0.019410,0.019026
42,0.017726,0.015419
43,0.018966,0.018117
44,0.017067,0.017761
45,0.018748,0.018391
46,0.019311,0.020917
47,0.017703,0.013483
48,0.017057,0.019197
49,0.016561,0.018215
50,0.016699,0.014674
51,0.016120,0.017478
52,0.017366,0.020637
53,0.017891,0.016468
54,0.016167,0.017554
55,0.015583,0.013686
56,0.016563,0.019094
57,0.014971,0.018884
58,0.014825,0.017055
59,0.016800,0.016697
60,0.014564,0.014138
61,0.015358,0.017033
62,0.014612,0.018081
63,0.016502,0.016518
64,0.013746,0.018748
65,0.014896,0.015113
66,0.013877,0.017280
67,0.015138,0.018362
68,0.014260,0.014697
69,0.014835,0.019344
70,0.014774,0.015357
71,0.014237,0.014097
72,0.014088,0.015492
73,0.013281,0.014645
74,0.012285,0.014316
75,0.013841,0.014775
76,0.013509,0.014493
77,0.013481,0.015023
78,0.013354,0.020715
79,0.013315,0.017077
80,0.012205,0.016354
81,0.012305,0.014709
82,0.012089,0.015551
83,0.012359,0.014815
84,0.013177,0.015305
85,0.012110,0.020341
86,0.013298,0.014965
87,0.012125,0.015337
88,0.011227,0.013912
89,0.012526,0.014841
90,0.012870,0.016561
91,0.011485,0.015567
92,0.011500,0.014702
93,0.011414,0.015297
94,0.011359,0.014616
95,0.012718,0.014450
96,0.010482,0.014722
97,0.010703,0.015135
98,0.010462,0.013198
99,0.010635,0.014556
