epoch,train_loss,val_loss,train_adv_loss,train_clean_loss
0,27.940895,27.769898,27.945601,27.936189
1,27.273315,26.754144,27.291989,27.254641
2,25.604074,23.974412,25.657448,25.550700
3,20.994571,17.042622,21.144829,20.844314
4,12.293182,7.346986,12.567167,12.019197
5,4.514348,2.324503,4.902557,4.126140
6,2.119040,1.822394,2.519405,1.718675
7,1.815034,1.675825,2.201514,1.428554
8,1.677501,1.469157,2.066059,1.288943
9,1.541627,1.340650,1.918659,1.164595
10,1.435204,1.211722,1.815199,1.055209
11,1.331679,1.108062,1.705488,0.957870
12,1.240698,1.007608,1.612782,0.868615
13,1.159349,0.926253,1.534505,0.784193
14,1.084511,0.858280,1.456732,0.712290
15,1.020402,0.773946,1.395664,0.645139
16,0.952651,0.724508,1.321898,0.583404
17,0.896376,0.652039,1.264374,0.528379
18,0.849482,0.603362,1.219000,0.479963
19,0.801686,0.561529,1.168107,0.435265
final,0.801686,0.561529
