epoch,train_loss,val_loss
0,0.007780,0.001220
1,0.003837,0.000525
2,0.001749,0.001921
3,0.000897,0.000782
4,0.001043,0.000186
5,0.000412,0.000682
6,0.000424,0.000107
7,0.000214,0.000085
8,0.000147,0.000054
9,0.000101,0.000015
10,0.000047,0.000040
11,0.000046,0.000004
12,0.000023,0.000005
13,0.000009,0.000009
14,0.000010,0.000004
15,0.000008,0.000002
16,0.000005,0.000003
17,0.000004,0.000002
18,0.000004,0.000003
19,0.000004,0.000002
20,0.000003,0.000002
21,0.000003,0.000002
22,0.000003,0.000001
23,0.000003,0.000001
24,0.000003,0.000001
25,0.000002,0.000001
26,0.000002,0.000001
27,0.000002,0.000001
28,0.000002,0.000001
29,0.000002,0.000001
final,0.000002,0.000001
